Detection timestamp,AprilTag Detection [Hz],Window size timestamp,window size
1690252106.32657,3.13459001801848,1690252006.24797,1032447
1690252106.41669,11.0959542649132,1690252006.2625,1029504
1690252106.50403,11.4498987218755,1690252006.27415,1029504
1690252106.82106,3.15429506539762,1690252006.28123,1026565
1690252106.91175,11.0267024557216,1690252006.29081,1026565
1690252106.9972,11.70272653207,1690252006.30039,1023630
1690252107.33193,2.98750027600678,1690252006.31044,1023630
1690252107.42334,10.9393891182615,1690252006.31986,1023630
1690252107.51206,11.2715262754794,1690252006.3292,1020699
1690252107.82603,3.18496598468988,1690252006.33945,1020699
1690252107.91388,11.383583207582,1690252006.35206,1020699
1690252107.99524,12.2910367502908,1690252006.3608,1017772
1690252108.31857,3.09277733248486,1690252006.74533,1014849
1690252108.40307,11.834175547298,1690252006.75566,1014849
1690252108.48905,11.6306200884018,1690252006.76551,1014849
1690252108.82019,3.01991603312307,1690252006.77709,1011930
1690252108.90845,11.3300467593931,1690252006.78467,1011930
1690252108.99462,11.6053578889408,1690252006.79602,1009015
1690252109.31613,3.11027398682419,1690252006.80681,1009015
1690252109.39824,12.1786537668628,1690252006.81497,1006104
1690252109.48272,11.837949817956,1690252006.82487,1006104
1690252109.8182,2.98075936341166,1690252006.83551,1006104
1690252109.90008,12.2135853913509,1690252006.84482,1006104
1690252109.9827,12.103166679171,1690252006.85485,1003197
1690252110.31842,2.97872715160864,1690252007.24107,1000294
1690252110.40477,11.580237165063,1690252007.25003,1000294
1690252110.48532,12.4138845479945,1690252007.26229,1000294
1690252110.81033,3.0768549104703,1690252007.27041,997395
1690252110.89557,11.7311703749283,1690252007.28179,997395
1690252110.97509,12.5756432781852,1690252007.29019,994500
1690252111.30532,3.02821872926553,1690252007.30055,994500
1690252111.38592,12.4066507133159,1690252007.31053,994500
1690252111.46645,12.417890651137,1690252007.32064,991609
1690252111.80178,2.98213691524064,1690252007.33039,991609
1690252111.88667,11.7803629908831,1690252007.34049,988722
1690252111.96485,12.7911389509831,1690252007.35806,988722
1690252112.30655,2.92654513383752,1690252007.7398,985839
1690252112.39268,11.609662392015,1690252007.74931,985839
1690252112.47427,12.2568790181181,1690252007.75831,985839
1690252112.80265,3.04520502095696,1690252007.76785,982960
1690252112.88924,11.54962481585,1690252007.7794,982960
1690252112.96722,12.8228140276432,1690252007.79011,980085
1690252113.30538,2.95723182551764,1690252007.79868,980085
1690252113.38445,12.64670196471,1690252007.80843,977214
1690252113.46346,12.6563186481593,1690252007.81854,977214
1690252113.80179,2.95572928778711,1690252007.82835,977214
1690252113.88339,12.2550525783708,1690252007.8395,974347
1690252113.95945,13.147670172249,1690252008.2406,974347
1690252114.29479,2.98198638225385,1690252008.25187,971484
1690252114.3772,12.1342949802839,1690252008.26106,971484
1690252114.45389,13.0395167583263,1690252008.27342,968625
1690252114.79742,2.91095443097186,1690252008.28094,968625
1690252114.88071,12.0070880770871,1690252008.29,968625
1690252114.96279,12.182509461528,1690252008.29985,965770
1690252115.294,3.0192399610709,1690252008.30924,965770
1690252115.375,12.346610226868,1690252008.31889,962919
1690252115.45463,12.5569693014233,1690252008.32862,962919
1690252115.80114,2.88594398069021,1690252008.33895,962919
1690252115.88755,11.5727604579104,1690252008.34871,960072
1690252115.96614,12.7240857311875,1690252008.74296,960072
1690252116.28866,3.10055523563325,1690252008.75068,957229
,,1690252008.759,957229
,,1690252008.76753,957229
,,1690252008.77897,954390
,,1690252008.78775,954390
,,1690252008.79688,951555
,,1690252008.80625,951555
,,1690252008.8172,948724
,,1690252008.82616,948724
,,1690252008.83897,948724
